date,campaign_id,campaign_name,adset_name,ad_name,account_name,country,clicks,imps,spend,purchase_total,purchase_total_value,CTR
2023-01-29,23852059773990245,d980e5c7878a518d336fe59f221d0cec5846976dfb361578e526b9d2633c16fe,a0ac820ad72178916da012d24678c2e3d68e135eb5c3cba53e7329fd04735729,ee1c3956d6c4aa00ae36662962d6f748ff371a23e1b87a6a96442dddefbf110b,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,17,717,9.94,1,146.4,2.3709902370990235
2023-01-29,23852059773990245,d980e5c7878a518d336fe59f221d0cec5846976dfb361578e526b9d2633c16fe,a0ac820ad72178916da012d24678c2e3d68e135eb5c3cba53e7329fd04735729,f2c8f83e3769a3a6dccc09ff8864f3b7c05808ea9fc2eb568e8e3256ca7defbe,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,13,763,9.12,1,109.5,1.703800786369594
2023-01-29,23852076784030245,8981f6e12a7544c9cc045d49e9b3454ebd3a2daed95b9d5e5abe75a659f784cd,c4b10637f2bfcca94d200f376a9018bc6fbfd9e0b7f399d66a03b4ee4a1bfdcf,8d713347a6453ef176b406c004d4808cd1b2b910f482da7e965c1bbe8cb55e7d,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6890c837e9a8e887d651f86fac63673ad336a440aa1ea81847dc493ca6894f65,55,3456,30.63,1,204.7,1.5914351851851851
2024-06-27,120206723879730446,d75d7df1fd98429d9362a845c41d05e71ecfb46ba66ac08219d98f53088c06f9,0f9fce48e376eec568517052fc897a33b16ff99b5f60383d6188e2789f020002,e1a3ae34c9ddb8bf9f0331fcd424ad7b797974bf4923bacc161980d02efbcd45,d6fda5e00ffea88db21cf1cd38f778d3d049d98e8fe5740ed0e2062c379d0734,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,147,13866,179.23,2,168.0,1.0601471224578105
2024-06-27,6056653944331,91ba1933dfa553b624f72cb4b3fc35bfedfa6767165f3b9a06a22ec1d8e183bd,134fb80547f51542856c460a4e48c0e5be56ae19ba1e282d6cfdc4807c498269,9fc59e7f61bd8c03fa3c346f704388f5425d43d0898c48e223148910a7532a4d,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,b4043b0b8297e379bc559ab33b6ae9c7a9b4ef6519d3baee53270f0c0dd3d960,64,4167,91.81,5,424.34,1.5358771298296137
2024-06-27,6067691045331,06d86e12244c3d951a0d140d6d3441f496f67c1ea44e53d661ec2cbf5cd12109,bb863775b75ca5a4a1f809cf393f31f976652fa8994991e019161c6bb10c033b,55c2808cf8bb0983f43e783e1cd0f3301900bcbab1601bbfb5c3bb7e6c99de87,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,49,2412,68.55,1,29.0,2.03150912106136
2024-06-27,6381279654531,94af0b190baaab863d26deed20736d06b302a8aa633cba74da24368cde18b9e1,98614833183d38098900a6aece8dc9e349e7f70651f27959a3493b2550731a7b,3ad86bf640a142bb418297b32fd66c160ac0f9744bc44849f616b0b0bee59839,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,eb5442705969dc8da5dfac8f9658dc68acdab5bb7635ba7cc551e389416ac34e,11,1375,28.54,1,32.0,0.8
2024-06-27,6381280441331,1fd41c5a77510e0702fd7d3509b0e83a0114d9c72c41d42d7b25bbd1b7a6aebe,4fe88815d776550e47a4431fc3023036bc90bffbfa3f94e137a05010ec81767c,269d67e68e15cef3ec57698114633cf9d6ca10af6b5336657b8afbc64a1e1cc4,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,501c26b2571a1f7fd72df8c21593874fc874c97145717470596895d1c22203f7,23,1953,38.37,1,19.0,1.1776753712237584
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,d8b812b2da23ca35a01a6c5c9a02b98e8cbf9c271a518c29ceab74f82d78e24a,3148494e64d1ca030485ed9c5d488a76c1bd4d5dccdf75e98575bda59127e63a,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,186,17713,99.46,1,20.0,1.0500762152091685
2024-06-27,6593060065931,be45573c0ace8a58f0e1269b275d806bf61eb1e66fac630be27d44ed9ec12fa7,b7b12d30fe64a04ec2372e976b6b9e870c164cb766cbe4863a63920df02572aa,ebeaf483cd62f53b4588fa8408750c3ce7dc65924dfe47e18d7c2d6c34215edc,2d28a1e66baa33dea46b4229e06d2fe4e9206a9ab29c4d016184995615913558,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,47,21403,99.93,5,535.44,0.2195953838246974
